No,Name,Type1,Type2,Height,Weight
1,Bulbasaur,Grass,Poison,0.7,6.9
2,Ivysaur,Grass,Poison,1,13
3,Venusaur,Grass,Poison,2,100
4,Charmander,Fire,,0.6,8.5
5,Charmeleon,Fire,,1.1,19
6,Charizard,Fire,Flying,1.7,90.5
7,Squirtle,Water,,0.5,9
8,Wartortle,Water,,1,22.5
9,Blastoise,Water,,1.6,85.5
10,Caterpie,Bug,,0.3,2.9
11,Metapod,Bug,,0.7,9.9
12,Butterfree,Bug,Flying,1.1,32
13,Weedle,Bug,Poison,0.3,3.2
14,Kakuna,Bug,Poison,0.6,10
15,Beedrill,Bug,Poison,1,29.5
16,Pidgey,Normal,Flying,0.3,1.8
17,Pidgeotto,Normal,Flying,1.1,30
18,Pidgeot,Normal,Flying,1.5,39.5
19,Rattata,Normal,,0.3,3.5
20,Raticate,Normal,,0.7,18.5
21,Spearow,Normal,Flying,0.3,2
22,Fearow,Normal,Flying,1.2,38
23,Ekans,Poison,,2,6.9
24,Arbok,Poison,,3.5,65
25,Pikachu,Electric,,0.4,6
26,Raichu,Electric,,0.8,30
27,Sandshrew,Ground,,0.6,12
28,Sandslash,Ground,,1,29.5
29,Nidoran♀,Poison,,0.4,7
30,Nidorina,Poison,,0.8,20
31,Nidoqueen,Poison,Ground,1.3,60
32,Nidoran♂,Poison,,0.5,9
33,Nidorino,Poison,,0.9,19.5
34,Nidoking,Poison,Ground,1.4,62
35,Clefairy,Fairy,,0.6,7.5
36,Clefable,Fairy,,1.3,40
37,Vulpix,Fire,,0.6,9.9
38,Ninetales,Fire,,1.1,19.9
39,Jigglypuff,Normal,Fairy,0.5,5.5
40,Wigglytuff,Normal,Fairy,1,12
41,Zubat,Poison,Flying,0.8,7.5
42,Golbat,Poison,Flying,1.6,55
43,Oddish,Grass,Poison,0.5,5.4
44,Gloom,Grass,Poison,0.8,8.6
45,Vileplume,Grass,Poison,1.2,18.6
46,Paras,Bug,Grass,0.3,5.4
47,Parasect,Bug,Grass,1,29.5
48,Venonat,Bug,Poison,1,30
49,Venomoth,Bug,Poison,1.5,12.5
50,Diglett,Ground,,0.2,0.8
51,Dugtrio,Ground,,0.7,33.3
52,Meowth,Normal,,0.4,4.2
53,Persian,Normal,,1,32
54,Psyduck,Water,,0.8,19.6
55,Golduck,Water,,1.7,76.6
56,Mankey,Fighting,,0.5,28
57,Primeape,Fighting,,1,32
58,Growlithe,Fire,,0.7,19
59,Arcanine,Fire,,1.9,155
60,Poliwag,Water,,0.6,12.4
61,Poliwhirl,Water,,1,20
62,Poliwrath,Water,Fighting,1.3,54
63,Abra,Psychic,,0.9,19.5
64,Kadabra,Psychic,,1.3,56.5
65,Alakazam,Psychic,,1.5,48
66,Machop,Fighting,,0.8,19.5
67,Machoke,Fighting,,1.5,70.5
68,Machamp,Fighting,,1.6,130
69,Bellsprout,Grass,Poison,0.7,4
70,Weepinbell,Grass,Poison,1,6.4
71,Victreebel,Grass,Poison,1.7,15.5
72,Tentacool,Water,Poison,0.9,45.5
73,Tentacruel,Water,Poison,1.6,55
74,Geodude,Rock,Ground,0.4,20
75,Graveler,Rock,Ground,1,105
76,Golem,Rock,Ground,1.4,300
77,Ponyta,Fire,,1,30
78,Rapidash,Fire,,1.7,95
79,Slowpoke,Water,Psychic,1.2,36
80,Slowbro,Water,Psychic,1.6,78.5
81,Magnemite,Electric,Steel,0.3,6
82,Magneton,Electric,Steel,1,60
83,Farfetch'd,Normal,Flying,0.8,15
84,Doduo,Normal,Flying,1.4,39.2
85,Dodrio,Normal,Flying,1.8,85.2
86,Seel,Water,,1.1,90
87,Dewgong,Water,Ice,1.7,120
88,Grimer,Poison,,0.9,30
89,Muk,Poison,,1.2,30
90,Shellder,Water,,0.3,4
91,Cloyster,Water,Ice,1.5,132.5
92,Gastly,Ghost,Poison,1.3,0.1
93,Haunter,Ghost,Poison,1.6,0.1
94,Gengar,Ghost,Poison,1.5,40.5
95,Onix,Rock,Ground,8.8,210
96,Drowzee,Psychic,,1,32.4
97,Hypno,Psychic,,1.6,75.6
98,Krabby,Water,,0.4,6.5
99,Kingler,Water,,1.3,60
100,Voltorb,Electric,,0.5,10.4
101,Electrode,Electric,,1.2,66.6
102,Exeggcute,Grass,Psychic,0.4,2.5
103,Exeggutor,Grass,Psychic,2,120
104,Cubone,Ground,,0.4,6.5
105,Marowak,Ground,,1,45
106,Hitmonlee,Fighting,,1.5,49.8
107,Hitmonchan,Fighting,,1.4,50.2
108,Lickitung,Normal,,1.2,65.5
109,Koffing,Poison,,0.6,1
110,Weezing,Poison,,1.2,9.5
111,Rhyhorn,Ground,Rock,1,115
112,Rhydon,Ground,Rock,1.9,120
113,Chansey,Normal,,1.1,34.6
114,Tangela,Grass,,1,35
115,Kangaskhan,Normal,,2.2,80
116,Horsea,Water,,0.4,8
117,Seadra,Water,,1.2,25
118,Goldeen,Water,,0.6,15
119,Seaking,Water,,1.3,39
120,Staryu,Water,,0.8,34.5
121,Starmie,Water,Psychic,1.1,80
122,Mr. Mime,Psychic,Fairy,1.3,54.5
123,Scyther,Bug,Flying,1.5,56
124,Jynx,Ice,Psychic,1.4,40.6
125,Electabuzz,Electric,,1.1,30
126,Magmar,Fire,,1.3,44.5
127,Pinsir,Bug,,1.5,55
128,Tauros,Normal,,1.4,88.4
129,Magikarp,Water,,0.9,10
130,Gyarados,Water,Flying,6.5,235
131,Lapras,Water,Ice,2.5,220
132,Ditto,Normal,,0.3,4
133,Eevee,Normal,,0.3,6.5
134,Vaporeon,Water,,1,29
135,Jolteon,Electric,,0.8,24.5
136,Flareon,Fire,,0.9,25
137,Porygon,Normal,,0.8,36.5
138,Omanyte,Rock,Water,0.4,7.5
139,Omastar,Rock,Water,1,35
140,Kabuto,Rock,Water,0.5,11.5
141,Kabutops,Rock,Water,1.3,40.5
142,Aerodactyl,Rock,Flying,1.8,59
143,Snorlax,Normal,,2.1,460
144,Articuno,Ice,Flying,1.7,55.4
145,Zapdos,Electric,Flying,1.6,52.6
146,Moltres,Fire,Flying,2,60
147,Dratini,Dragon,,1.8,3.3
148,Dragonair,Dragon,,4,16.5
149,Dragonite,Dragon,Flying,2.2,210
150,Mewtwo,Psychic,,2,122
